id,label,description,url,x,y,weight,cluster
12,tareq (2014),"<table><tr><td>Authors:</td><td>tareq, sm</td></tr><tr><td>Title:</td><td>source and characteristic of fluorescence humic substances in arsenic polluted groundwater of bangladesh</td></tr><tr><td>Source:</td><td>journal of the chinese chemical society</td></tr><tr><td>Volume:</td><td>61</td></tr><tr><td>Issue:</td><td>7</td></tr><tr><td>Pages:</td><td>770-773</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1002/jccs.201400060,-0.8074,-0.1392,1,2
13,argos (2014),"<table><tr><td>Authors:</td><td>argos, m; parvez, f; rahman, m; rakibuz-zaman, m; ahmed, a; hore, sk; islam, t; chen, y; pierce, bl; slavkovich, v; olopade, c; yunus, m; baron, ja; graziano, jh; ahsan, h</td></tr><tr><td>Title:</td><td>arsenic and lung disease mortality in bangladeshi adults</td></tr><tr><td>Source:</td><td>epidemiology</td></tr><tr><td>Volume:</td><td>25</td></tr><tr><td>Issue:</td><td>4</td></tr><tr><td>Pages:</td><td>536-543</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1097/ede.0000000000000106,1.0753,-0.1102,1,1
14,rahman (2014),"<table><tr><td>Authors:</td><td>rahman, ma; rahman, mm; reichman, sm; lim, rp; naidu, r</td></tr><tr><td>Title:</td><td>arsenic speciation in australian-grown and imported rice on sale in australia: implications for human health risk</td></tr><tr><td>Source:</td><td>journal of agricultural and food chemistry</td></tr><tr><td>Volume:</td><td>62</td></tr><tr><td>Issue:</td><td>25</td></tr><tr><td>Pages:</td><td>6016-6024</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1021/f501077w,0.0343,0.5591,1,3
15,harper (2014),"<table><tr><td>Authors:</td><td>harper, kn; liu, xh; hall, mn; ilievski, v; oka, j; calancie, l; slavkovich, v; levy, d; siddique, a; alam, s; mey, jl; van geen, a; graziano, jh; gamble, mv</td></tr><tr><td>Title:</td><td>a dose-response study of arsenic exposure and markers of oxidative damage in bangladesh</td></tr><tr><td>Source:</td><td>journal of occupational and environmental medicine</td></tr><tr><td>Volume:</td><td>56</td></tr><tr><td>Issue:</td><td>6</td></tr><tr><td>Pages:</td><td>652-658</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1097/jom.0000000000000166,1.1622,0.095,1,1
16,schwindaman (2014),"<table><tr><td>Authors:</td><td>schwindaman, jp; castle, jw; rodgers, jh</td></tr><tr><td>Title:</td><td>biogeochemical process-based design and performance of a pilot-scale constructed wetland for arsenic removal from simulated bangladesh groundwater</td></tr><tr><td>Source:</td><td>water air and soil pollution</td></tr><tr><td>Volume:</td><td>225</td></tr><tr><td>Issue:</td><td>6</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1007/s11270-014-2009-7,-0.5339,-0.1187,1,2
17,uddin (2014),"<table><tr><td>Authors:</td><td>uddin, ms; kurosawa, k</td></tr><tr><td>Title:</td><td>effects of peat and water quality parameters on groundwater arsenic contamination in bangladesh</td></tr><tr><td>Source:</td><td>water and environment journal</td></tr><tr><td>Volume:</td><td>28</td></tr><tr><td>Issue:</td><td>2</td></tr><tr><td>Pages:</td><td>165-172</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1111/wej.12017,-0.9538,0.0869,1,3
18,rammelt (2014),"<table><tr><td>Authors:</td><td>rammelt, cf</td></tr><tr><td>Title:</td><td>participatory action research in marginalised communities: safe drinking water in rural bangladesh</td></tr><tr><td>Source:</td><td>systemic practice and action research</td></tr><tr><td>Volume:</td><td>27</td></tr><tr><td>Issue:</td><td>3</td></tr><tr><td>Pages:</td><td>195-210</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1007/s11213-013-9280-1,0.0053,-0.2234,1,4
19,yang (2014),"<table><tr><td>Authors:</td><td>yang, nf; winkel, lhe; johannesson, kh</td></tr><tr><td>Title:</td><td>predicting geogenic arsenic contamination in shallow groundwater of south louisiana, united states</td></tr><tr><td>Source:</td><td>environmental science & technology</td></tr><tr><td>Volume:</td><td>48</td></tr><tr><td>Issue:</td><td>10</td></tr><tr><td>Pages:</td><td>5660-5666</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1021/es405670g,-0.3912,-0.3318,1,2
20,brunsting (2014),"<table><tr><td>Authors:</td><td>brunsting, jh; mcbean, ea</td></tr><tr><td>Title:</td><td>phosphate interference during in situ treatment for arsenic in groundwater</td></tr><tr><td>Source:</td><td>journal of environmental science and health part a-toxic/hazardous substances & environmental engineering</td></tr><tr><td>Volume:</td><td>49</td></tr><tr><td>Issue:</td><td>6</td></tr><tr><td>Pages:</td><td>671-678</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1080/10934529.2014.865449,-1.1472,-0.0298,1,2
21,thang (2014),"<table><tr><td>Authors:</td><td>thang, nd; yajima, i; kumasaka, my; kato, m</td></tr><tr><td>Title:</td><td>bidirectional functions of arsenic as a carcinogen and an anti-cancer agent in human squamous cell carcinoma</td></tr><tr><td>Source:</td><td>plos one</td></tr><tr><td>Volume:</td><td>9</td></tr><tr><td>Issue:</td><td>5</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1371/journal.pone.0096945,0.2244,0.2393,1,1
22,yunus (2014),"<table><tr><td>Authors:</td><td>yunus, fm; rahman, mj; alam, mz; hore, sk; rahman, m</td></tr><tr><td>Title:</td><td>relationship between arsenic skin lesions and the age of natural menopause</td></tr><tr><td>Source:</td><td>bmc public health</td></tr><tr><td>Volume:</td><td>14</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1186/1471-2458-14-419,0.6775,-0.1239,1,1
23,nahar (2014),"<table><tr><td>Authors:</td><td>nahar, mn; inaoka, t; fujimura, m</td></tr><tr><td>Title:</td><td>a consecutive study on arsenic exposure and intelligence quotient (iq) of children in bangladesh</td></tr><tr><td>Source:</td><td>environmental health and preventive medicine</td></tr><tr><td>Volume:</td><td>19</td></tr><tr><td>Issue:</td><td>3</td></tr><tr><td>Pages:</td><td>194-199</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1007/s12199-013-0374-2,0.7906,-0.1752,1,1
24,wu (2014),"<table><tr><td>Authors:</td><td>wu, f; jasmine, f; kibriya, mg; liu, ml; cheng, x; parvez, f; paul-brutus, r; paul, rr; sarwar, g; ahmed, a; jiang, jy; islam, t; slavkovich, v; rundek, t; demmer, rt; desvarieux, m; ahsan, h; chen, y</td></tr><tr><td>Title:</td><td>interaction between arsenic exposure from drinking water and genetic susceptibility in carotid intima-media thickness in bangladesh</td></tr><tr><td>Source:</td><td>toxicology and applied pharmacology</td></tr><tr><td>Volume:</td><td>276</td></tr><tr><td>Issue:</td><td>3</td></tr><tr><td>Pages:</td><td>195-203</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1016/j.taap.2014.02.014,1.4873,0.1361,1,1
25,marcussen (2014),"<table><tr><td>Authors:</td><td>marcussen, h; alam, ma; rahman, mm; ali, ml; mahmud, s; jorgensen, nog</td></tr><tr><td>Title:</td><td>species-specific content of as, pb, and other elements in pangas (pangasianodon hypophthalmus) and tilapia (oreochromis niloticus) from aquaculture ponds in southern bangladesh</td></tr><tr><td>Source:</td><td>aquaculture</td></tr><tr><td>Volume:</td><td>426</td></tr><tr><td>Pages:</td><td>85-87</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1016/j.aquaculture.2014.01.026,-0.8147,0.6216,1,3
26,kile (2014),"<table><tr><td>Authors:</td><td>kile, ml; rodrigues, eg; mazumdar, m; dobson, cb; diao, n; golam, m; quamruzzaman, q; rahman, m; christiani, dc</td></tr><tr><td>Title:</td><td>a prospective cohort study of the association between drinking water arsenic exposure and self-reported maternal health symptoms during pregnancy in bangladesh</td></tr><tr><td>Source:</td><td>environmental health</td></tr><tr><td>Volume:</td><td>13</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1186/1476-069x-13-29,0.6676,-0.0999,1,1
27,wasserman (2014),"<table><tr><td>Authors:</td><td>wasserman, ga; liu, xh; lolacono, nj; kline, j; factor-litvak, p; van geen, a; mey, jl; levy, d; abramson, r; schwartz, a; graziano, jh</td></tr><tr><td>Title:</td><td>a cross-sectional study of well water arsenic and child iq in maine schoolchildren</td></tr><tr><td>Source:</td><td>environmental health</td></tr><tr><td>Volume:</td><td>13</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1186/1476-069x-13-23,0.9789,-0.2783,1,1
28,brunsting (2014),"<table><tr><td>Authors:</td><td>brunsting, jh; mcbean, ea</td></tr><tr><td>Title:</td><td>in situ treatment of arsenic-contaminated groundwater by air sparging</td></tr><tr><td>Source:</td><td>journal of contaminant hydrology</td></tr><tr><td>Volume:</td><td>159</td></tr><tr><td>Pages:</td><td>20-35</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1016/j.jconhyd.2014.01.003,-1.0451,-0.0538,1,2
29,senanayake (2014),"<table><tr><td>Authors:</td><td>senanayake, ni; mukherji, a</td></tr><tr><td>Title:</td><td>irrigating with arsenic contaminated groundwater in west bengal and bangladesh: a review of interventions for mitigating adverse health and crop outcomes</td></tr><tr><td>Source:</td><td>agricultural water management</td></tr><tr><td>Volume:</td><td>135</td></tr><tr><td>Pages:</td><td>90-99</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1016/j.agwat.2013.12.015,-0.4492,0.5666,1,3
30,nahar (2014),"<table><tr><td>Authors:</td><td>nahar, mn; inaoka, t; fujimura, m; watanabe, c; shimizu, h; tasnim, s; sultana, n</td></tr><tr><td>Title:</td><td>arsenic contamination in groundwater and its effects on adolescent intelligence and social competence in bangladesh with special reference to daily drinking/cooking water intake</td></tr><tr><td>Source:</td><td>environmental health and preventive medicine</td></tr><tr><td>Volume:</td><td>19</td></tr><tr><td>Issue:</td><td>2</td></tr><tr><td>Pages:</td><td>151-158</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1007/s12199-013-0369-z,0.2943,0.2456,1,3
31,kalman (2014),"<table><tr><td>Authors:</td><td>kalman, da; dills, rl; steinmaus, c; yunus, m; khan, af; prodhan, mm; yuan, y; smith, ah</td></tr><tr><td>Title:</td><td>occurrence of trivalent monomethyl arsenic and other urinary arsenic species in a highly exposed juvenile population in bangladesh</td></tr><tr><td>Source:</td><td>journal of exposure science and environmental epidemiology</td></tr><tr><td>Volume:</td><td>24</td></tr><tr><td>Issue:</td><td>2</td></tr><tr><td>Pages:</td><td>113-120</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1038/jes.2013.14,1.1617,0.2671,1,1
32,haider (2014),"<table><tr><td>Authors:</td><td>haider, afmy; ullah, mh; khan, zh; kabir, f; abedin, km</td></tr><tr><td>Title:</td><td>detection of trace amount of arsenic in groundwater by laser-induced breakdown spectroscopy and adsorption</td></tr><tr><td>Source:</td><td>optics and laser technology</td></tr><tr><td>Volume:</td><td>56</td></tr><tr><td>Pages:</td><td>299-303</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1016/j.optlastec.2013.09.002,0.6254,0.0101,1,1
33,norton (2014),"<table><tr><td>Authors:</td><td>norton, gj; douglas, a; lahner, b; yakubova, e; guerinot, ml; pinson, srm; tarpley, l; eizenga, gc; mcgrath, sp; zhao, fj; islam, mr; islam, s; duan, gl; zhu, yg; salt, de; meharg, aa; price, ah</td></tr><tr><td>Title:</td><td>genome wide association mapping of grain arsenic, copper, molybdenum and zinc in rice (oryza sativa l.) grown at four international field sites</td></tr><tr><td>Source:</td><td>plos one</td></tr><tr><td>Volume:</td><td>9</td></tr><tr><td>Issue:</td><td>2</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1371/journal.pone.0089685,-0.1074,0.7577,1,3
34,rahman (2014),"<table><tr><td>Authors:</td><td>rahman, m; sohel, n; yunus, m; chowdhury, me; hore, sk; zaman, k; bhuiya, a; streatfield, pk</td></tr><tr><td>Title:</td><td>a prospective cohort study of stroke mortality and arsenic in drinking water in bangladeshi adults</td></tr><tr><td>Source:</td><td>bmc public health</td></tr><tr><td>Volume:</td><td>14</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1186/1471-2458-14-174,0.977,-0.0265,1,1
35,li (2014),"<table><tr><td>Authors:</td><td>li, l; li, j; shao, c; zhang, kj; yu, sl; gao, ny; deng, y; yin, dq</td></tr><tr><td>Title:</td><td>arsenic removal in synthetic ground water using iron electrolysis</td></tr><tr><td>Source:</td><td>separation and purification technology</td></tr><tr><td>Volume:</td><td>122</td></tr><tr><td>Pages:</td><td>225-230</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1016/j.seppur.2013.11.012,-0.8791,0.0403,1,2
36,basu (2014),"<table><tr><td>Authors:</td><td>basu, a; saha, d; saha, r; ghosh, t; saha, b</td></tr><tr><td>Title:</td><td>a review on sources, toxicity and remediation technologies for removing arsenic from drinking water</td></tr><tr><td>Source:</td><td>research on chemical intermediates</td></tr><tr><td>Volume:</td><td>40</td></tr><tr><td>Issue:</td><td>2</td></tr><tr><td>Pages:</td><td>447-485</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1007/s11164-012-1000-4,-0.2792,0.0747,1,2
37,rahman (2014),"<table><tr><td>Authors:</td><td>rahman, a; nahar, n; nawani, nn; jass, j; desale, p; kapadnis, bp; hossain, k; saha, ak; ghosh, s; olsson, b; mandal, a</td></tr><tr><td>Title:</td><td>isolation and characterization of a lysinibacillus strain b1-cda showing potential for bioremediation of arsenics from contaminated water</td></tr><tr><td>Source:</td><td>journal of environmental science and health part a-toxic/hazardous substances & environmental engineering</td></tr><tr><td>Volume:</td><td>49</td></tr><tr><td>Issue:</td><td>12</td></tr><tr><td>Pages:</td><td>1349-1360</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1080/10934529.2014.928247,-0.5129,0.2275,1,3
38,islam (2014),"<table><tr><td>Authors:</td><td>islam, ms</td></tr><tr><td>Title:</td><td>poisoned blood, ghaa, and the infected body: lay understandings of arsenicosis in rural bangladesh</td></tr><tr><td>Source:</td><td>medical anthropology</td></tr><tr><td>Volume:</td><td>33</td></tr><tr><td>Issue:</td><td>5</td></tr><tr><td>Pages:</td><td>441-456</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1080/01459740.2014.883620,0.1622,-0.1804,1,4
39,freitas (2014),"<table><tr><td>Authors:</td><td>freitas, scb; van halem, d; rahman, mm; verberk, jqjc; badruzzaman, abm; van der meer, wgj</td></tr><tr><td>Title:</td><td>hand-pump subsurface arsenic removal: the effect of groundwater conditions and intermittent operation</td></tr><tr><td>Source:</td><td>water science and technology-water supply</td></tr><tr><td>Volume:</td><td>14</td></tr><tr><td>Issue:</td><td>1</td></tr><tr><td>Pages:</td><td>119-126</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.2166/ws.2013.180,-1.2346,0.0725,1,2
40,ahsan (2014),"<table><tr><td>Authors:</td><td>ahsan, a; syuhada, n; jolhi, e; darain, km; rowshon, mk; jakariya, m; shafie, s; ghazali, ah</td></tr><tr><td>Title:</td><td>assessment of distillate water quality parameters produced by solar still for potable usage</td></tr><tr><td>Source:</td><td>fresenius environmental bulletin</td></tr><tr><td>Volume:</td><td>23</td></tr><tr><td>Issue:</td><td>3a</td></tr><tr><td>Pages:</td><td>859-866</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",,0.038,-0.6335,1,4
41,sikder (2014),"<table><tr><td>Authors:</td><td>sikder, amk; salehin, m</td></tr><tr><td>Title:</td><td>participatory multi-criteria evaluation of alternative options for water supply in cyclone-prone areas of bangladesh</td></tr><tr><td>Source:</td><td>journal of water sanitation and hygiene for development</td></tr><tr><td>Volume:</td><td>4</td></tr><tr><td>Issue:</td><td>1</td></tr><tr><td>Pages:</td><td>100-107</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.2166/washdev.2014.094,-0.5885,-0.3214,1,2
42,christoforidou (2013),"<table><tr><td>Authors:</td><td>christoforidou, ep; riza, e; kales, sn; hadjistavrou, k; stoltidi, m; kastania, an; linos, a</td></tr><tr><td>Title:</td><td>bladder cancer and arsenic through drinking water: a systematic review of epidemiologic evidence</td></tr><tr><td>Source:</td><td>journal of environmental science and health part a-toxic/hazardous substances & environmental engineering</td></tr><tr><td>Volume:</td><td>48</td></tr><tr><td>Issue:</td><td>14</td></tr><tr><td>Pages:</td><td>1764-1775</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1080/10934529.2013.823329,0.7387,-0.0094,1,1
43,mcbean (2013),"<table><tr><td>Authors:</td><td>mcbean, ea; rajib, ma; rahman, mm</td></tr><tr><td>Title:</td><td>improved sustainability of water supply options in areas with arsenic-impacted groundwater</td></tr><tr><td>Source:</td><td>water</td></tr><tr><td>Volume:</td><td>5</td></tr><tr><td>Issue:</td><td>4</td></tr><tr><td>Pages:</td><td>1941-1951</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.3390/w5041941,0.2698,-0.4269,1,4
44,rahman (2013),"<table><tr><td>Authors:</td><td>rahman, mm; erskine, w; zaman, ms; thavarajah, p; thavarajah, d; siddique, khm</td></tr><tr><td>Title:</td><td>selenium biofortification in lentil (lens culinaris medikus subsp culinaris): farmers' field survey and genotype x environment effect</td></tr><tr><td>Source:</td><td>food research international</td></tr><tr><td>Volume:</td><td>54</td></tr><tr><td>Issue:</td><td>2</td></tr><tr><td>Pages:</td><td>1596-1604</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.foodres.2013.09.008,0.13,0.2892,1,3
45,pierce (2013),"<table><tr><td>Authors:</td><td>pierce, bl; tong, l; argos, m; gao, jj; jasmine, f; roy, s; paul-brutus, r; rahaman, r; rakibuz-zaman, m; parvez, f; ahmed, a; quasem, i; hore, sk; alam, s; islam, t; harjes, j; sarwar, g; slavkovich, v; gamble, mv; chen, y; yunus, m; rahman, m; baron, ja; graziano, jh; ahsan, h</td></tr><tr><td>Title:</td><td>arsenic metabolism efficiency has a causal role in arsenic toxicity: mendelian randomization and gene-environment interaction</td></tr><tr><td>Source:</td><td>international journal of epidemiology</td></tr><tr><td>Volume:</td><td>42</td></tr><tr><td>Issue:</td><td>6</td></tr><tr><td>Pages:</td><td>1862-1872</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1093/ije/dyt182,1.2041,-0.0234,1,1
46,kanel (2013),"<table><tr><td>Authors:</td><td>kanel, sr; malla, gb; choi, h</td></tr><tr><td>Title:</td><td>modeling and study of the mechanism of mobilization of arsenic contamination in the groundwater of nepal in south asia</td></tr><tr><td>Source:</td><td>clean technologies and environmental policy</td></tr><tr><td>Volume:</td><td>15</td></tr><tr><td>Issue:</td><td>6</td></tr><tr><td>Pages:</td><td>1077-1082</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1007/s10098-013-0580-z,-0.8554,-0.0821,1,2
47,hussain (2013),"<table><tr><td>Authors:</td><td>hussain, sa; sullivan, r</td></tr><tr><td>Title:</td><td>cancer control in bangladesh</td></tr><tr><td>Source:</td><td>japanese journal of clinical oncology</td></tr><tr><td>Volume:</td><td>43</td></tr><tr><td>Issue:</td><td>12</td></tr><tr><td>Pages:</td><td>1159-1169</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1093/jjco/hyt140,0.2136,-0.1413,1,1
48,islam (2013),"<table><tr><td>Authors:</td><td>islam, mn; malak, ma; islam, mn</td></tr><tr><td>Title:</td><td>community-based disaster risk and vulnerability models of a coastal municipality in bangladesh</td></tr><tr><td>Source:</td><td>natural hazards</td></tr><tr><td>Volume:</td><td>69</td></tr><tr><td>Issue:</td><td>3</td></tr><tr><td>Pages:</td><td>2083-2103</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1007/s11069-013-0796-6,1.97,-1.4556,1,4
49,ahmed (2013),"<table><tr><td>Authors:</td><td>ahmed, s; rekha, rs; bin ahsan, k; doi, m; grander, m; roy, ak; ekstrom, ec; wagatsuma, y; vahter, m; raqib, r</td></tr><tr><td>Title:</td><td>arsenic exposure affects plasma insulin-like growth factor 1 (igf-1) in children in rural bangladesh</td></tr><tr><td>Source:</td><td>plos one</td></tr><tr><td>Volume:</td><td>8</td></tr><tr><td>Issue:</td><td>11</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1371/journal.pone.0081530,1.4913,-0.049,1,1
51,rahman (2013),"<table><tr><td>Authors:</td><td>rahman, mm; asaduzzaman, m; naidu, r</td></tr><tr><td>Title:</td><td>consumption of arsenic and other elements from vegetables and drinking water from an arsenic-contaminated area of bangladesh</td></tr><tr><td>Source:</td><td>journal of hazardous materials</td></tr><tr><td>Volume:</td><td>262</td></tr><tr><td>Pages:</td><td>1056-1063</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",,0.0648,0.2142,1,3
